point,x,y,yaw_deg
P1,4.166,2.280,-12.0
P2,3.091,-5.683,-101.8
P3,0.621,-1.568,-159.2
P4,6.572,7.025,8.4
P5,9.094,0.940,77.3
P6,7.286,12.355,-102.2
P7,3.681,6.593,102.4
